sub_exp,trial,trail_type,dist_m,lateral_dev_m,modality,snr_db,trail_lost_all_four,elapsed_s,led_pwm,s0,s1,s2,s3,gas_adc,ambient_pct,switchover_latency_s,continued_following_or_trail_any
A_straight,1,straight,0.0,0.0008,optical,40.56,False,0.15,,2569.1,2597.9,2602.1,2628.6,0.0,0.0,,
A_straight,1,straight,0.1,0.0004,optical,43.55,False,2.3,,2564.5,2597.9,2602.1,2595.4,0.0,0.0,,
A_straight,1,straight,0.2,0.0,optical,47.6,False,4.23,,2620.4,2597.9,2602.1,2616.4,0.0,0.0,,
A_straight,1,straight,0.3,0.0004,optical,44.06,False,5.33,,2607.1,2597.9,2602.1,2634.2,0.0,0.0,,
A_straight,1,straight,0.4,0.0008,optical,40.99,False,6.41,,2581.8,2597.9,2602.1,2637.0,0.0,0.0,,
A_straight,1,straight,0.5,0.0008,optical,40.91,False,7.49,,2563.3,2597.9,2602.1,2618.9,0.0,0.0,,
A_straight,1,straight,0.6,0.0004,optical,43.94,False,8.56,,2565.7,2597.9,2602.1,2593.2,0.0,0.0,,
A_straight,1,straight,0.7,0.0001,optical,47.96,False,9.63,,2589.4,2597.9,2602.1,2578.6,0.0,0.0,,
A_straight,1,straight,0.8,0.0003,optical,47.92,False,10.69,,2614.8,2597.9,2602.1,2589.8,0.0,0.0,,
A_straight,1,straight,0.9,0.0,optical,47.67,False,11.77,,2620.6,2597.9,2602.1,2615.6,0.0,0.0,,
A_straight,1,straight,1.0,0.0005,optical,43.47,False,12.84,,2603.8,2597.9,2602.1,2635.9,0.0,0.0,,
A_straight,1,straight,1.1,0.0008,optical,40.7,False,13.91,,2576.4,2597.9,2602.1,2634.5,0.0,0.0,,
A_straight,1,straight,1.2,0.0007,optical,41.5,False,14.97,,2561.5,2597.9,2602.1,2611.2,0.0,0.0,,
A_straight,1,straight,1.3,0.0002,optical,45.43,False,16.05,,2571.1,2597.9,2602.1,2586.5,0.0,0.0,,
A_straight,1,straight,1.4,0.0002,optical,48.1,False,17.12,,2596.9,2597.9,2602.1,2579.1,0.0,0.0,,
A_straight,1,straight,1.5,0.0003,optical,47.99,False,18.2,,2617.8,2597.9,2602.1,2594.2,0.0,0.0,,
A_straight,1,straight,1.6,0.0,optical,47.03,False,19.27,,2618.8,2597.9,2602.1,2620.9,0.0,0.0,,
A_straight,1,straight,1.7,0.0005,optical,43.04,False,20.36,,2601.1,2597.9,2602.1,2637.0,0.0,0.0,,
A_straight,1,straight,1.8,0.0008,optical,40.69,False,21.44,,2576.0,2597.9,2602.1,2634.3,0.0,0.0,,
A_straight,1,straight,1.9,0.0007,optical,41.55,False,22.51,,2561.5,2597.9,2602.1,2610.7,0.0,0.0,,
A_straight,1,straight,2.0,0.0002,optical,45.69,False,23.58,,2572.3,2597.9,2602.1,2585.5,0.0,0.0,,
A_straight,1,straight,2.1,0.0002,optical,48.1,False,24.65,,2598.3,2597.9,2602.1,2579.4,0.0,0.0,,
A_straight,1,straight,2.2,0.0003,optical,48.04,False,25.72,,2618.8,2597.9,2602.1,2596.2,0.0,0.0,,
A_straight,1,straight,2.3,0.0001,optical,46.92,False,26.8,,2618.5,2597.9,2602.1,2621.6,0.0,0.0,,
A_straight,1,straight,2.4,0.0006,optical,42.5,False,27.88,,2597.3,2597.9,2602.1,2638.0,0.0,0.0,,
A_straight,1,straight,2.5,0.0008,optical,40.59,False,28.96,,2572.7,2597.9,2602.1,2632.0,0.0,0.0,,
A_straight,1,straight,2.6,0.0006,optical,41.91,False,30.03,,2561.5,2597.9,2602.1,2607.2,0.0,0.0,,
A_straight,1,straight,2.7,0.0002,optical,46.09,False,31.1,,2574.2,2597.9,2602.1,2584.0,0.0,0.0,,
A_straight,1,straight,2.8,0.0003,optical,48.05,False,32.17,,2601.5,2597.9,2602.1,2580.3,0.0,0.0,,
A_straight,1,straight,2.9,0.0003,optical,48.09,False,33.24,,2619.8,2597.9,2602.1,2598.9,0.0,0.0,,
A_straight,1,straight,3.0,0.0001,optical,46.31,False,34.32,,2616.5,2597.9,2602.1,2625.1,0.0,0.0,,
B_curved,1,curved,0.0,0.0003,optical,48.08,False,0.02,,2602.2,2597.8,2602.2,2580.7,0.0,0.0,,
B_curved,1,curved,0.1,0.0001,optical,49.74,False,1.07,,2617.1,2596.9,2603.1,2607.1,0.0,0.0,,
B_curved,1,curved,0.2,0.0005,optical,43.09,False,2.14,,2605.1,2596.0,2604.0,2637.4,0.0,0.0,,
B_curved,1,curved,0.3,0.001,optical,38.51,False,3.21,,2576.9,2595.0,2605.0,2649.7,0.0,0.0,,
B_curved,1,curved,0.4,0.0013,optical,37.11,False,4.28,,2550.6,2594.2,2605.8,2638.2,0.0,0.0,,
B_curved,1,curved,0.5,0.001,optical,38.4,False,5.36,,2545.6,2593.3,2606.7,2615.4,0.0,0.0,,
B_curved,1,curved,0.6,0.0006,optical,42.51,False,6.43,,2563.3,2592.6,2607.4,2600.5,0.0,0.0,,
B_curved,1,curved,0.7,0.0004,optical,46.92,False,7.52,,2584.6,2591.9,2608.1,2607.7,0.0,0.0,,
B_curved,1,curved,0.8,0.0006,optical,42.64,False,8.58,,2595.2,2591.3,2608.7,2633.9,0.0,0.0,,
B_curved,1,curved,0.9,0.0011,optical,37.71,False,9.67,,2583.4,2590.8,2609.2,2658.9,0.0,0.0,,
B_curved,1,curved,1.0,0.0016,optical,34.99,False,10.75,,2557.6,2590.4,2609.6,2668.1,0.0,0.0,,
B_curved,1,curved,1.1,0.0017,optical,34.35,False,11.82,,2534.4,2590.1,2609.9,2654.4,0.0,0.0,,
B_curved,1,curved,1.2,0.0014,optical,35.7,False,12.91,,2531.6,2589.9,2610.1,2629.9,0.0,0.0,,
B_curved,1,curved,1.3,0.0009,optical,39.18,False,13.98,,2550.7,2589.9,2610.1,2611.9,0.0,0.0,,
B_curved,1,curved,1.4,0.0006,optical,43.21,False,15.05,,2577.5,2589.9,2610.1,2616.3,0.0,0.0,,
B_curved,1,curved,1.5,0.0008,optical,40.91,False,16.12,,2590.3,2590.1,2609.9,2639.8,0.0,0.0,,
B_curved,1,curved,1.6,0.0012,optical,37.02,False,17.19,,2579.6,2590.3,2609.7,2662.5,0.0,0.0,,
B_curved,1,curved,1.7,0.0016,optical,34.98,False,18.26,,2554.6,2590.7,2609.3,2666.0,0.0,0.0,,
B_curved,1,curved,1.8,0.0016,optical,35.13,False,19.33,,2536.9,2591.2,2608.8,2646.2,0.0,0.0,,
B_curved,1,curved,1.9,0.0011,optical,37.73,False,20.4,,2541.7,2591.8,2608.2,2617.0,0.0,0.0,,
B_curved,1,curved,2.0,0.0005,optical,43.56,False,21.47,,2567.9,2592.5,2607.5,2600.2,0.0,0.0,,
B_curved,1,curved,2.1,0.0002,optical,50.79,False,22.54,,2595.7,2593.2,2606.8,2607.9,0.0,0.0,,
B_curved,1,curved,2.2,0.0004,optical,44.47,False,23.61,,2605.2,2594.0,2606.0,2631.0,0.0,0.0,,
B_curved,1,curved,2.3,0.0008,optical,40.12,False,24.69,,2592.2,2594.9,2605.1,2647.7,0.0,0.0,,
B_curved,1,curved,2.4,0.001,optical,38.56,False,25.76,,2569.0,2595.8,2604.2,2643.3,0.0,0.0,,
B_curved,1,curved,2.5,0.0009,optical,40.07,False,26.83,,2557.2,2596.7,2603.3,2617.3,0.0,0.0,,
B_curved,1,curved,2.6,0.0003,optical,44.96,False,27.9,,2569.3,2597.7,2602.3,2588.3,0.0,0.0,,
B_curved,1,curved,2.7,0.0003,optical,46.67,False,28.97,,2599.3,2598.6,2601.4,2575.8,0.0,0.0,,
B_curved,1,curved,2.8,0.0005,optical,44.33,False,30.06,,2623.6,2599.6,2600.4,2585.4,0.0,0.0,,
B_curved,1,curved,2.9,0.0003,optical,45.28,False,31.12,,2630.1,2600.5,2599.5,2608.6,0.0,0.0,,
B_curved,1,curved,3.0,0.0001,optical,47.13,False,32.21,,2615.5,2601.4,2598.6,2622.7,0.0,0.0,,
B_curved,1,curved,3.1,0.0003,optical,48.17,False,33.28,,2592.2,2602.2,2597.8,2616.0,0.0,0.0,,
B_curved,1,curved,3.2,0.0001,optical,49.03,False,34.35,,2582.0,2603.0,2597.0,2589.0,0.0,0.0,,
B_curved,1,curved,3.3,0.0005,optical,42.7,False,35.41,,2596.4,2603.7,2596.3,2561.5,0.0,0.0,,
B_curved,1,curved,3.4,0.001,optical,38.87,False,36.5,,2623.3,2604.3,2595.7,2553.4,0.0,0.0,,
