point,cross_track_error_m,cross_track_error_cm
1,0.000000,0.0000
2,0.000020,0.0020
3,0.000042,0.0042
4,0.000062,0.0062
5,0.000092,0.0092
6,0.000126,0.0126
7,0.000146,0.0146
8,0.000166,0.0166
9,0.000199,0.0199
10,0.000230,0.0230
11,0.000255,0.0255
12,0.000277,0.0277
13,0.000323,0.0323
14,0.000428,0.0428
15,0.000515,0.0515
16,0.000618,0.0618
17,0.000710,0.0710
18,0.000848,0.0848
19,0.000957,0.0957
20,0.001104,0.1104
21,0.001290,0.1290
22,0.001572,0.1572
23,0.001923,0.1923
24,0.002226,0.2226
25,0.002548,0.2548
26,0.002951,0.2951
27,0.003327,0.3327
28,0.003581,0.3581
29,0.003873,0.3873
30,0.004119,0.4119
31,0.004363,0.4363
32,0.004600,0.4600
33,0.004761,0.4761
34,0.004933,0.4933
35,0.005105,0.5105
36,0.004910,0.4910
37,0.004688,0.4688
38,0.004563,0.4563
39,0.004409,0.4409
40,0.004265,0.4265
41,0.004155,0.4155
42,0.004114,0.4114
43,0.004060,0.4060
44,0.004006,0.4006
45,0.003973,0.3973
46,0.003948,0.3948
47,0.003929,0.3929
48,0.003908,0.3908
49,0.003879,0.3879
50,0.003843,0.3843
51,0.003804,0.3804
52,0.003747,0.3747
53,0.003681,0.3681
54,0.003633,0.3633
55,0.003590,0.3590
56,0.003477,0.3477
57,0.003379,0.3379
58,0.003304,0.3304
59,0.003278,0.3278
60,0.003258,0.3258
61,0.003226,0.3226
62,0.003205,0.3205
63,0.003157,0.3157
64,0.003072,0.3072
65,0.003009,0.3009
66,0.002958,0.2958
67,0.002890,0.2890
68,0.002839,0.2839
69,0.002781,0.2781
70,0.002698,0.2698
71,0.002615,0.2615
72,0.002533,0.2533
73,0.002412,0.2412
74,0.002314,0.2314
75,0.002249,0.2249
76,0.002179,0.2179
77,0.002130,0.2130
78,0.002096,0.2096
79,0.002055,0.2055
80,0.002024,0.2024
81,0.002004,0.2004
82,0.001986,0.1986
83,0.001971,0.1971
84,0.001948,0.1948
85,0.001924,0.1924
86,0.001894,0.1894
87,0.001878,0.1878
88,0.001860,0.1860
89,0.001844,0.1844
90,0.001817,0.1817
91,0.001806,0.1806
92,0.001793,0.1793
93,0.001782,0.1782
94,0.001770,0.1770
95,0.001753,0.1753
96,0.001729,0.1729
97,0.001716,0.1716
98,0.001698,0.1698
99,0.001688,0.1688
100,0.001671,0.1671
101,0.001658,0.1658
102,0.001653,0.1653
103,0.001647,0.1647
104,0.001640,0.1640
105,0.001624,0.1624
106,0.001620,0.1620
107,0.001607,0.1607
108,0.001605,0.1605
109,0.001597,0.1597
110,0.001591,0.1591
111,0.001588,0.1588
112,0.001587,0.1587
113,0.001588,0.1588
114,0.001592,0.1592
115,0.001597,0.1597
116,0.001604,0.1604
117,0.001610,0.1610
118,0.001628,0.1628
119,0.001656,0.1656
120,0.001690,0.1690
121,0.001715,0.1715
122,0.001737,0.1737
123,0.001771,0.1771
124,0.001822,0.1822
125,0.001860,0.1860
126,0.001922,0.1922
127,0.001980,0.1980
128,0.002052,0.2052
129,0.002164,0.2164
130,0.002250,0.2250
131,0.002341,0.2341
132,0.002430,0.2430
133,0.002552,0.2552
134,0.002626,0.2626
135,0.002730,0.2730
136,0.002836,0.2836
137,0.002912,0.2912
138,0.002986,0.2986
139,0.003067,0.3067
140,0.003143,0.3143
141,0.003244,0.3244
142,0.003339,0.3339
143,0.003436,0.3436
144,0.003494,0.3494
145,0.003551,0.3551
146,0.003631,0.3631
147,0.003682,0.3682
148,0.003730,0.3730
149,0.003808,0.3808
150,0.003898,0.3898
151,0.003985,0.3985
152,0.004066,0.4066
153,0.004160,0.4160
154,0.004244,0.4244
155,0.004301,0.4301
156,0.004398,0.4398
157,0.004551,0.4551
158,0.004736,0.4736
159,0.004989,0.4989
160,0.005171,0.5171
161,0.005442,0.5442
162,0.005739,0.5739
163,0.005953,0.5953
164,0.005802,0.5802
165,0.005649,0.5649
166,0.005424,0.5424
167,0.005259,0.5259
168,0.005074,0.5074
169,0.004908,0.4908
170,0.004715,0.4715
171,0.004557,0.4557
172,0.004394,0.4394
173,0.004265,0.4265
174,0.004173,0.4173
175,0.004138,0.4138
176,0.004143,0.4143
177,0.004159,0.4159
178,0.004184,0.4184
179,0.004216,0.4216
180,0.004250,0.4250
181,0.004283,0.4283
182,0.004327,0.4327
183,0.004386,0.4386
184,0.004449,0.4449
185,0.004538,0.4538
186,0.004632,0.4632
187,0.004752,0.4752
188,0.004845,0.4845
189,0.004969,0.4969
190,0.005092,0.5092
191,0.005204,0.5204
192,0.005352,0.5352
193,0.005474,0.5474
194,0.005625,0.5625
195,0.005767,0.5767
196,0.005878,0.5878
197,0.005998,0.5998
198,0.006130,0.6130
199,0.006372,0.6372
200,0.006589,0.6589
201,0.006763,0.6763
202,0.006971,0.6971
203,0.007231,0.7231
204,0.007411,0.7411
205,0.007197,0.7197
206,0.006997,0.6997
207,0.006804,0.6804
208,0.006657,0.6657
209,0.006530,0.6530
210,0.006450,0.6450
211,0.006389,0.6389
212,0.006358,0.6358
213,0.006347,0.6347
214,0.006347,0.6347
215,0.006372,0.6372
216,0.006406,0.6406
217,0.006444,0.6444
218,0.006478,0.6478
219,0.006514,0.6514
220,0.006544,0.6544
221,0.006566,0.6566
222,0.006591,0.6591
223,0.006604,0.6604
224,0.006618,0.6618
225,0.006644,0.6644
226,0.006668,0.6668
227,0.006702,0.6702
228,0.006734,0.6734
229,0.006778,0.6778
230,0.006824,0.6824
231,0.006872,0.6872
232,0.006915,0.6915
233,0.006943,0.6943
234,0.006996,0.6996
235,0.007051,0.7051
236,0.007081,0.7081
237,0.007105,0.7105
238,0.007155,0.7155
239,0.007210,0.7210
240,0.007273,0.7273
241,0.007331,0.7331
242,0.007364,0.7364
243,0.007403,0.7403
244,0.007415,0.7415
245,0.007420,0.7420
246,0.007434,0.7434
247,0.007455,0.7455
248,0.007492,0.7492
249,0.007535,0.7535
250,0.007644,0.7644
251,0.007744,0.7744
252,0.007868,0.7868
253,0.008036,0.8036
254,0.008172,0.8172
255,0.008264,0.8264
256,0.008334,0.8334
257,0.008392,0.8392
258,0.008463,0.8463
259,0.008522,0.8522
260,0.008584,0.8584
261,0.008649,0.8649
262,0.008745,0.8745
263,0.008805,0.8805
264,0.008850,0.8850
265,0.008867,0.8867
266,0.008888,0.8888
267,0.008903,0.8903
268,0.008917,0.8917
269,0.008925,0.8925
270,0.008932,0.8932
271,0.008934,0.8934
272,0.008940,0.8940
273,0.008943,0.8943
274,0.008949,0.8949
275,0.008954,0.8954
276,0.008958,0.8958
277,0.008964,0.8964
278,0.008966,0.8966
279,0.008968,0.8968
280,0.008972,0.8972
281,0.008982,0.8982
282,0.008994,0.8994
283,0.009017,0.9017
284,0.009035,0.9035
285,0.009045,0.9045
286,0.008898,0.8898
287,0.008684,0.8684
288,0.008439,0.8439
289,0.008142,0.8142
290,0.007883,0.7883
