time_s,time_min,adc_value,voltage_V
0.0,0.0000,123,0.6012
1.0,0.0167,208,1.0166
2.0,0.0333,197,0.9629
3.0,0.0500,201,0.9824
4.0,0.0667,192,0.9384
5.0,0.0833,220,1.0753
6.0,0.1000,227,1.1095
7.0,0.1167,233,1.1388
8.0,0.1333,272,1.3294
9.0,0.1500,258,1.2610
10.0,0.1667,265,1.2952
11.0,0.1833,270,1.3196
12.0,0.2000,299,1.4614
13.0,0.2167,245,1.1975
14.0,0.2333,315,1.5396
15.0,0.2500,311,1.5200
16.0,0.2667,300,1.4663
17.0,0.2833,280,1.3685
18.0,0.3000,323,1.5787
19.0,0.3167,344,1.6813
20.0,0.3333,344,1.6813
21.0,0.3500,369,1.8035
22.0,0.3667,362,1.7693
23.0,0.3833,357,1.7449
24.0,0.4000,364,1.7791
25.0,0.4167,366,1.7889
26.0,0.4333,368,1.7986
27.0,0.4500,390,1.9062
28.0,0.4667,359,1.7546
29.0,0.4833,388,1.8964
30.0,0.5000,396,1.9355
31.0,0.5167,395,1.9306
32.0,0.5333,399,1.9501
33.0,0.5500,398,1.9453
34.0,0.5667,412,2.0137
35.0,0.5833,435,2.1261
36.0,0.6000,408,1.9941
37.0,0.6167,429,2.0968
38.0,0.6333,445,2.1750
39.0,0.6500,422,2.0626
40.0,0.6667,417,2.0381
41.0,0.6833,458,2.2385
42.0,0.7000,489,2.3900
43.0,0.7167,462,2.2581
44.0,0.7333,473,2.3118
45.0,0.7500,505,2.4682
46.0,0.7667,489,2.3900
47.0,0.7833,503,2.4585
48.0,0.8000,476,2.3265
49.0,0.8167,479,2.3412
50.0,0.8333,464,2.2678
51.0,0.8500,447,2.1848
52.0,0.8667,436,2.1310
53.0,0.8833,492,2.4047
54.0,0.9000,501,2.4487
55.0,0.9167,489,2.3900
56.0,0.9333,516,2.5220
57.0,0.9500,499,2.4389
58.0,0.9667,537,2.6246
59.0,0.9833,504,2.4633
60.0,1.0000,559,2.7322
61.0,1.0167,491,2.3998
62.0,1.0333,492,2.4047
63.0,1.0500,516,2.5220
64.0,1.0667,531,2.5953
65.0,1.0833,512,2.5024
66.0,1.1000,513,2.5073
67.0,1.1167,479,2.3412
68.0,1.1333,520,2.5415
69.0,1.1500,496,2.4242
70.0,1.1667,512,2.5024
71.0,1.1833,538,2.6295
72.0,1.2000,495,2.4194
73.0,1.2167,508,2.4829
74.0,1.2333,513,2.5073
75.0,1.2500,537,2.6246
76.0,1.2667,545,2.6637
77.0,1.2833,537,2.6246
78.0,1.3000,530,2.5904
79.0,1.3167,532,2.6002
80.0,1.3333,507,2.4780
81.0,1.3500,546,2.6686
82.0,1.3667,516,2.5220
83.0,1.3833,521,2.5464
84.0,1.4000,553,2.7028
85.0,1.4167,589,2.8788
86.0,1.4333,537,2.6246
87.0,1.4500,560,2.7370
88.0,1.4667,581,2.8397
89.0,1.4833,541,2.6442
90.0,1.5000,536,2.6197
91.0,1.5167,576,2.8152
92.0,1.5333,583,2.8495
93.0,1.5500,592,2.8935
94.0,1.5667,598,2.9228
95.0,1.5833,568,2.7761
96.0,1.6000,567,2.7713
97.0,1.6167,581,2.8397
98.0,1.6333,589,2.8788
99.0,1.6500,617,3.0156
100.0,1.6667,630,3.0792
101.0,1.6833,579,2.8299
102.0,1.7000,606,2.9619
103.0,1.7167,565,2.7615
104.0,1.7333,593,2.8983
105.0,1.7500,599,2.9277
106.0,1.7667,564,2.7566
107.0,1.7833,560,2.7370
108.0,1.8000,596,2.9130
109.0,1.8167,631,3.0841
110.0,1.8333,633,3.0938
111.0,1.8500,587,2.8690
112.0,1.8667,606,2.9619
113.0,1.8833,596,2.9130
114.0,1.9000,585,2.8592
115.0,1.9167,590,2.8837
116.0,1.9333,621,3.0352
117.0,1.9500,606,2.9619
118.0,1.9667,575,2.8104
119.0,1.9833,615,3.0059
120.0,2.0000,598,2.9228
121.0,2.0167,598,2.9228
122.0,2.0333,666,3.2551
123.0,2.0500,651,3.1818
124.0,2.0667,638,3.1183
125.0,2.0833,652,3.1867
126.0,2.1000,661,3.2307
127.0,2.1167,635,3.1036
128.0,2.1333,644,3.1476
129.0,2.1500,624,3.0499
130.0,2.1667,646,3.1574
131.0,2.1833,653,3.1916
132.0,2.2000,618,3.0205
133.0,2.2167,618,3.0205
134.0,2.2333,623,3.0450
135.0,2.2500,596,2.9130
136.0,2.2667,657,3.2111
137.0,2.2833,650,3.1769
138.0,2.3000,648,3.1672
139.0,2.3167,643,3.1427
140.0,2.3333,620,3.0303
141.0,2.3500,613,2.9961
142.0,2.3667,594,2.9032
143.0,2.3833,611,2.9863
144.0,2.4000,604,2.9521
145.0,2.4167,589,2.8788
146.0,2.4333,610,2.9814
147.0,2.4500,620,3.0303
148.0,2.4667,639,3.1232
149.0,2.4833,622,3.0401
150.0,2.5000,640,3.1281
151.0,2.5167,626,3.0596
152.0,2.5333,662,3.2356
153.0,2.5500,618,3.0205
154.0,2.5667,646,3.1574
155.0,2.5833,617,3.0156
156.0,2.6000,626,3.0596
157.0,2.6167,593,2.8983
158.0,2.6333,647,3.1623
159.0,2.6500,629,3.0743
160.0,2.6667,604,2.9521
161.0,2.6833,649,3.1720
162.0,2.7000,613,2.9961
163.0,2.7167,621,3.0352
164.0,2.7333,622,3.0401
165.0,2.7500,625,3.0547
166.0,2.7667,603,2.9472
167.0,2.7833,640,3.1281
168.0,2.8000,638,3.1183
169.0,2.8167,594,2.9032
170.0,2.8333,629,3.0743
171.0,2.8500,627,3.0645
172.0,2.8667,648,3.1672
173.0,2.8833,636,3.1085
174.0,2.9000,623,3.0450
175.0,2.9167,629,3.0743
176.0,2.9333,661,3.2307
177.0,2.9500,659,3.2209
178.0,2.9667,635,3.1036
179.0,2.9833,633,3.0938
180.0,3.0000,596,2.9130
181.0,3.0167,646,3.1574
182.0,3.0333,624,3.0499
183.0,3.0500,651,3.1818
184.0,3.0667,651,3.1818
185.0,3.0833,636,3.1085
186.0,3.1000,655,3.2014
187.0,3.1167,671,3.2796
188.0,3.1333,651,3.1818
189.0,3.1500,629,3.0743
190.0,3.1667,615,3.0059
191.0,3.1833,571,2.7908
192.0,3.2000,672,3.2845
193.0,3.2167,640,3.1281
194.0,3.2333,651,3.1818
195.0,3.2500,627,3.0645
196.0,3.2667,640,3.1281
197.0,3.2833,628,3.0694
198.0,3.3000,626,3.0596
199.0,3.3167,673,3.2893
200.0,3.3333,637,3.1134
201.0,3.3500,635,3.1036
202.0,3.3667,617,3.0156
203.0,3.3833,639,3.1232
204.0,3.4000,575,2.8104
205.0,3.4167,666,3.2551
206.0,3.4333,666,3.2551
207.0,3.4500,642,3.1378
208.0,3.4667,630,3.0792
209.0,3.4833,644,3.1476
210.0,3.5000,684,3.3431
211.0,3.5167,668,3.2649
212.0,3.5333,634,3.0987
213.0,3.5500,660,3.2258
214.0,3.5667,624,3.0499
215.0,3.5833,661,3.2307
216.0,3.6000,655,3.2014
217.0,3.6167,646,3.1574
218.0,3.6333,651,3.1818
219.0,3.6500,669,3.2698
220.0,3.6667,636,3.1085
221.0,3.6833,686,3.3529
222.0,3.7000,667,3.2600
223.0,3.7167,669,3.2698
224.0,3.7333,677,3.3089
225.0,3.7500,655,3.2014
226.0,3.7667,666,3.2551
227.0,3.7833,672,3.2845
228.0,3.8000,636,3.1085
229.0,3.8167,626,3.0596
230.0,3.8333,677,3.3089
231.0,3.8500,662,3.2356
232.0,3.8667,672,3.2845
233.0,3.8833,664,3.2454
234.0,3.9000,646,3.1574
235.0,3.9167,630,3.0792
236.0,3.9333,642,3.1378
237.0,3.9500,657,3.2111
238.0,3.9667,658,3.2160
239.0,3.9833,705,3.4457
240.0,4.0000,629,3.0743
241.0,4.0167,670,3.2747
242.0,4.0333,648,3.1672
243.0,4.0500,635,3.1036
244.0,4.0667,644,3.1476
245.0,4.0833,631,3.0841
246.0,4.1000,625,3.0547
247.0,4.1167,645,3.1525
248.0,4.1333,650,3.1769
249.0,4.1500,683,3.3382
250.0,4.1667,655,3.2014
251.0,4.1833,640,3.1281
252.0,4.2000,661,3.2307
253.0,4.2167,667,3.2600
254.0,4.2333,644,3.1476
255.0,4.2500,645,3.1525
256.0,4.2667,663,3.2405
257.0,4.2833,629,3.0743
258.0,4.3000,636,3.1085
259.0,4.3167,679,3.3187
260.0,4.3333,629,3.0743
261.0,4.3500,621,3.0352
262.0,4.3667,635,3.1036
263.0,4.3833,623,3.0450
264.0,4.4000,634,3.0987
265.0,4.4167,596,2.9130
266.0,4.4333,652,3.1867
267.0,4.4500,674,3.2942
268.0,4.4667,639,3.1232
269.0,4.4833,651,3.1818
270.0,4.5000,670,3.2747
271.0,4.5167,605,2.9570
272.0,4.5333,644,3.1476
273.0,4.5500,629,3.0743
274.0,4.5667,634,3.0987
275.0,4.5833,656,3.2063
276.0,4.6000,647,3.1623
277.0,4.6167,604,2.9521
278.0,4.6333,617,3.0156
279.0,4.6500,628,3.0694
280.0,4.6667,639,3.1232
281.0,4.6833,594,2.9032
282.0,4.7000,656,3.2063
283.0,4.7167,655,3.2014
284.0,4.7333,639,3.1232
285.0,4.7500,645,3.1525
286.0,4.7667,654,3.1965
287.0,4.7833,632,3.0890
288.0,4.8000,598,2.9228
289.0,4.8167,615,3.0059
290.0,4.8333,638,3.1183
291.0,4.8500,640,3.1281
292.0,4.8667,644,3.1476
293.0,4.8833,651,3.1818
294.0,4.9000,663,3.2405
295.0,4.9167,649,3.1720
296.0,4.9333,642,3.1378
297.0,4.9500,621,3.0352
298.0,4.9667,649,3.1720
299.0,4.9833,667,3.2600
300.0,5.0000,655,3.2014
301.0,5.0167,649,3.1720
302.0,5.0333,643,3.1427
303.0,5.0500,677,3.3089
304.0,5.0667,654,3.1965
305.0,5.0833,664,3.2454
306.0,5.1000,660,3.2258
307.0,5.1167,666,3.2551
308.0,5.1333,650,3.1769
309.0,5.1500,682,3.3333
310.0,5.1667,654,3.1965
311.0,5.1833,668,3.2649
312.0,5.2000,662,3.2356
313.0,5.2167,688,3.3627
314.0,5.2333,645,3.1525
315.0,5.2500,704,3.4409
316.0,5.2667,682,3.3333
317.0,5.2833,669,3.2698
318.0,5.3000,685,3.3480
319.0,5.3167,651,3.1818
320.0,5.3333,669,3.2698
321.0,5.3500,687,3.3578
322.0,5.3667,658,3.2160
323.0,5.3833,641,3.1329
324.0,5.4000,647,3.1623
325.0,5.4167,672,3.2845
326.0,5.4333,661,3.2307
327.0,5.4500,652,3.1867
328.0,5.4667,689,3.3675
329.0,5.4833,703,3.4360
330.0,5.5000,636,3.1085
331.0,5.5167,648,3.1672
332.0,5.5333,682,3.3333
333.0,5.5500,678,3.3138
334.0,5.5667,660,3.2258
335.0,5.5833,664,3.2454
336.0,5.6000,642,3.1378
337.0,5.6167,660,3.2258
338.0,5.6333,648,3.1672
339.0,5.6500,707,3.4555
340.0,5.6667,650,3.1769
341.0,5.6833,670,3.2747
342.0,5.7000,654,3.1965
343.0,5.7167,647,3.1623
344.0,5.7333,648,3.1672
345.0,5.7500,658,3.2160
346.0,5.7667,697,3.4066
