time_s,voltage_V,current_A,power_W
0.000,11.959,1.4296,17.097
0.100,12.031,1.3534,16.283
0.200,11.970,1.4193,16.989
0.300,12.023,1.4738,17.719
0.400,12.111,1.4181,17.175
0.500,12.144,1.4568,17.691
0.600,11.923,1.5998,19.075
0.700,12.080,1.3765,16.628
0.800,12.044,1.5117,18.207
0.900,12.174,1.5471,18.834
1.000,11.914,1.5221,18.134
1.100,11.963,1.6320,19.523
1.200,12.169,1.4852,18.073
1.300,12.112,1.6747,20.284
1.400,11.960,1.6683,19.953
1.500,12.058,1.7045,20.553
1.600,11.770,1.7955,21.132
1.700,11.963,1.9279,23.064
1.800,11.940,1.8655,22.275
1.900,11.957,1.8406,22.007
2.000,11.968,1.7704,21.187
2.100,12.019,1.8311,22.008
2.200,12.014,1.8211,21.879
2.300,12.012,1.9920,23.929
2.400,11.955,2.0004,23.914
2.500,11.919,1.9749,23.538
2.600,11.931,1.9103,22.792
2.700,12.014,1.8788,22.573
2.800,12.147,2.0727,25.177
2.900,12.117,1.9369,23.469
3.000,11.960,1.9924,23.829
3.100,12.008,1.9923,23.924
3.200,12.019,2.1445,25.775
3.300,11.933,2.1008,25.068
3.400,12.126,2.0871,25.309
3.500,11.921,2.0324,24.227
3.600,12.010,2.1832,26.221
3.700,11.894,1.9889,23.657
3.800,11.989,2.0077,24.069
3.900,11.892,2.1013,24.990
4.000,11.975,2.2146,26.518
4.100,11.916,2.0951,24.966
4.200,11.983,2.1291,25.513
4.300,12.015,2.2261,26.747
4.400,11.938,2.1249,25.366
4.500,11.832,2.1545,25.492
4.600,11.969,2.2258,26.640
4.700,12.168,1.9396,23.601
4.800,12.018,2.1488,25.825
4.900,12.111,2.1616,26.179
5.000,12.096,2.0124,24.343
5.100,12.095,2.0282,24.531
5.200,11.986,2.1630,25.925
5.300,11.983,2.0900,25.044
5.400,11.881,2.0978,24.923
5.500,11.949,2.1773,26.015
5.600,11.917,2.1177,25.236
5.700,12.086,1.9454,23.513
5.800,12.002,2.0034,24.045
5.900,12.275,1.8368,22.547
6.000,11.985,1.9208,23.021
6.100,11.877,2.0622,24.492
6.200,12.028,1.9539,23.502
6.300,11.967,1.8813,22.513
6.400,12.238,1.7452,21.358
6.500,11.944,1.7770,21.224
6.600,12.057,1.7856,21.529
6.700,12.050,1.7275,20.817
6.800,11.875,1.8319,21.753
6.900,12.016,1.6817,20.208
7.000,12.147,1.6077,19.528
7.100,12.084,1.7419,21.050
7.200,11.933,1.5889,18.959
7.300,12.082,1.5855,19.157
7.400,12.120,1.5784,19.131
7.500,12.032,1.5949,19.189
7.600,11.995,1.5230,18.269
7.700,11.936,1.6096,19.212
7.800,11.992,1.4214,17.045
7.900,12.027,1.4806,17.807
8.000,11.981,1.4952,17.914
8.100,11.887,1.4358,17.067
8.200,12.028,1.4536,17.483
8.300,11.972,1.4701,17.600
8.400,12.003,1.3794,16.557
8.500,12.009,1.4171,17.018
8.600,11.948,1.3251,15.833
8.700,12.037,1.2813,15.423
8.800,11.875,1.4161,16.816
8.900,11.999,1.3493,16.191
9.000,12.068,1.3077,15.781
9.100,12.041,1.3115,15.791
9.200,12.044,1.4231,17.139
9.300,12.190,1.2358,15.065
9.400,11.969,1.4340,17.163
9.500,12.066,1.2576,15.174
9.600,12.027,1.3221,15.901
9.700,12.159,1.3673,16.625
9.800,11.919,1.4684,17.501
9.900,12.059,1.4132,17.041
10.000,12.037,1.4453,17.397
10.100,11.994,1.4104,16.916
10.200,12.088,1.4435,17.448
10.300,11.990,1.4443,17.317
10.400,11.955,1.4035,16.779
10.500,12.048,1.3658,16.455
10.600,11.970,1.3980,16.734
10.700,12.049,1.4384,17.332
10.800,12.016,1.5280,18.360
10.900,11.673,1.5084,17.608
11.000,12.118,1.6278,19.726
11.100,11.957,1.6318,19.511
11.200,12.126,1.6144,19.576
11.300,11.944,1.6480,19.684
