point,gt_x_m,gt_y_m,slam_x_m,slam_y_m,error_m,error_cm
1,0.0000,0.0000,-0.0000,-0.0119,0.0119,1.19
2,0.0323,0.0000,0.0323,-0.0234,0.0234,2.34
3,0.0645,0.0000,0.0645,0.0065,0.0065,0.65
4,0.0968,0.0000,0.0968,0.0259,0.0259,2.59
5,0.1290,0.0000,0.1290,0.0364,0.0364,3.64
6,0.1613,0.0000,0.1613,0.0265,0.0265,2.65
7,0.1935,0.0000,0.1935,0.0051,0.0051,0.51
8,0.2258,0.0000,0.2258,0.0056,0.0056,0.56
9,0.2581,0.0000,0.2581,0.0210,0.0210,2.10
10,0.2903,0.0000,0.2903,0.0146,0.0146,1.46
11,0.3226,0.0000,0.3226,-0.0132,0.0132,1.32
12,0.3548,0.0000,0.3548,0.0064,0.0064,0.64
13,0.3871,0.0000,0.3871,-0.0279,0.0279,2.79
14,0.4194,0.0000,0.4194,0.0341,0.0341,3.41
15,0.4516,0.0000,0.4516,-0.0002,0.0002,0.02
16,0.4839,0.0000,0.4839,0.0115,0.0115,1.15
17,0.5161,0.0000,0.5161,0.0355,0.0355,3.55
18,0.5484,0.0000,0.5484,0.0142,0.0142,1.42
19,0.5806,0.0000,0.5806,0.0266,0.0266,2.66
20,0.6129,0.0000,0.6129,0.0117,0.0117,1.17
21,0.6452,0.0000,0.6452,0.0046,0.0046,0.46
22,0.6774,0.0000,0.6774,-0.0295,0.0295,2.95
23,0.7097,0.0000,0.7097,0.0439,0.0439,4.39
24,0.7419,0.0000,0.7419,0.0255,0.0255,2.55
25,0.7742,0.0000,0.7742,0.0031,0.0031,0.31
26,0.8065,0.0000,0.8065,-0.0378,0.0378,3.78
27,0.8387,0.0000,0.8387,0.0012,0.0012,0.12
28,0.8710,0.0000,0.8710,0.0053,0.0053,0.53
29,0.9032,0.0000,0.9032,0.0395,0.0395,3.95
30,0.9355,0.0000,0.9355,-0.0253,0.0253,2.53
31,0.9677,0.0000,0.9677,0.0286,0.0286,2.86
32,1.0000,0.0000,1.0000,-0.0241,0.0241,2.41
33,1.0323,0.0000,1.0323,-0.0353,0.0353,3.53
34,1.0645,0.0000,1.0645,0.0056,0.0056,0.56
35,1.0968,0.0000,1.0968,0.0434,0.0434,4.34
36,1.1290,0.0000,1.1290,0.0112,0.0112,1.12
37,1.1613,0.0000,1.1613,0.0196,0.0196,1.96
38,1.1935,0.0000,1.1935,-0.0499,0.0499,4.99
39,1.2258,0.0000,1.2258,0.0294,0.0294,2.94
40,1.2581,0.0000,1.2581,0.0337,0.0337,3.37
41,1.2903,0.0000,1.2903,-0.0271,0.0271,2.71
42,1.3226,0.0000,1.3226,0.0471,0.0471,4.71
43,1.3548,0.0000,1.3548,0.0021,0.0021,0.21
44,1.3871,0.0000,1.3871,-0.0259,0.0259,2.59
45,1.4194,0.0000,1.4194,-0.0353,0.0353,3.53
46,1.4516,0.0000,1.4516,0.0380,0.0380,3.80
47,1.4839,0.0000,1.4839,-0.0037,0.0037,0.37
48,1.5161,0.0000,1.5161,0.0347,0.0347,3.47
49,1.5484,0.0000,1.5484,-0.0135,0.0135,1.35
50,1.5806,0.0000,1.5806,-0.0179,0.0179,1.79
51,1.6129,0.0000,1.6129,-0.0497,0.0497,4.97
52,1.6452,0.0000,1.6452,0.0293,0.0293,2.93
53,1.6774,0.0000,1.6774,0.0424,0.0424,4.24
54,1.7097,0.0000,1.7097,-0.0419,0.0419,4.19
55,1.7419,0.0000,1.7419,-0.0359,0.0359,3.59
56,1.7742,0.0000,1.7742,0.0327,0.0327,3.27
57,1.8065,0.0000,1.8065,0.0459,0.0459,4.59
58,1.8387,0.0000,1.8387,-0.0223,0.0223,2.23
59,1.8710,0.0000,1.8710,0.0085,0.0085,0.85
60,1.9032,0.0000,1.9032,-0.0579,0.0579,5.79
61,1.9355,0.0000,1.9355,-0.0534,0.0534,5.34
62,1.9677,0.0000,1.9677,-0.0357,0.0357,3.57
63,2.0000,0.0000,2.0000,-0.0233,0.0233,2.33
64,2.0323,0.0000,2.0323,-0.0549,0.0549,5.49
65,2.0645,0.0000,2.0645,-0.0073,0.0073,0.73
66,2.0968,0.0000,2.0968,0.0604,0.0604,6.04
67,2.1290,0.0000,2.1290,-0.0633,0.0633,6.33
68,2.1613,0.0000,2.1613,0.0372,0.0372,3.72
69,2.1935,0.0000,2.1935,0.0176,0.0176,1.76
70,2.2258,0.0000,2.2258,0.0627,0.0627,6.27
71,2.2581,0.0000,2.2581,-0.0257,0.0257,2.57
72,2.2903,0.0000,2.2903,0.0493,0.0493,4.93
73,2.3226,0.0000,2.3226,0.0273,0.0273,2.73
74,2.3548,0.0000,2.3548,-0.0455,0.0455,4.55
75,2.3871,0.0000,2.3871,-0.0263,0.0263,2.63
76,2.4194,0.0000,2.4194,0.0193,0.0193,1.93
